index	image_idx	cell_idx	row	col	shape	color	prototype_id
73	8	1	0	1	triangle	green	7
74	8	2	0	2	triangle	red	5
75	8	3	1	0	square	red	10
76	8	4	1	1	triangle	blue	5
77	8	5	1	2	triangle	blue	0
78	8	6	2	0	none	none	2
79	8	7	2	1	circle	blue	13
80	8	8	2	2	circle	blue	6
81	9	0	0	0	circle	red	6
82	9	1	0	1	square	green	9
83	9	2	0	2	circle	green	8
84	9	3	1	0	circle	red	13
85	9	4	1	1	none	none	2
86	9	5	1	2	triangle	blue	14
87	9	6	2	0	none	none	2
88	9	7	2	1	none	none	2
89	9	8	2	2	none	none	2
90	10	0	0	0	triangle	red	14
91	10	1	0	1	triangle	green	0
92	10	2	0	2	triangle	green	7
93	10	3	1	0	none	none	2
94	10	4	1	1	square	red	10
95	10	5	1	2	circle	green	6
96	10	6	2	0	triangle	red	15
97	10	7	2	1	circle	blue	8
98	10	8	2	2	none	none	2
99	11	0	0	0	triangle	green	7
100	11	1	0	1	circle	blue	3
101	11	2	0	2	square	red	10
102	11	3	1	0	triangle	green	7
103	11	4	1	1	square	red	9
104	11	5	1	2	circle	red	6
105	11	6	2	0	circle	blue	8
106	11	7	2	1	triangle	red	0
107	11	8	2	2	circle	green	13
108	12	0	0	0	none	none	2
109	12	1	0	1	circle	red	13
110	12	2	0	2	none	none	2
111	12	3	1	0	square	blue	9
112	12	4	1	1	none	none	2
113	12	5	1	2	square	blue	10
114	12	6	2	0	square	green	4
115	12	7	2	1	triangle	green	7
116	12	8	2	2	triangle	green	5
117	13	0	0	0	square	red	10
118	13	1	0	1	none	none	2
119	13	2	0	2	triangle	green	0
120	13	3	1	0	circle	blue	8
121	13	4	1	1	circle	blue	13
122	13	5	1	2	square	green	9
123	13	6	2	0	square	green	10
124	13	7	2	1	none	none	2
125	13	8	2	2	none	none	2
126	14	0	0	0	triangle	green	0
127	14	1	0	1	triangle	green	0
128	14	2	0	2	triangle	blue	0
129	14	3	1	0	square	green	9
130	14	4	1	1	triangle	red	14
131	14	5	1	2	square	blue	10
132	14	6	2	0	circle	red	8
133	14	7	2	1	triangle	green	15
134	14	8	2	2	triangle	red	5
135	15	0	0	0	none	none	2
136	15	1	0	1	circle	blue	6
137	15	2	0	2	square	blue	4
138	15	3	1	0	square	blue	10
139	15	4	1	1	square	blue	10
140	15	5	1	2	circle	green	8
141	15	6	2	0	square	blue	9
142	15	7	2	1	circle	red	16
143	15	8	2	2	triangle	red	5
144	16	0	0	0	none	none	2
145	16	1	0	1	circle	red	8
146	16	2	0	2	triangle	red	7
147	16	3	1	0	circle	green	6
148	16	4	1	1	square	red	10
149	16	5	1	2	square	blue	10
150	16	6	2	0	circle	blue	17
151	16	7	2	1	none	none	2
152	16	8	2	2	none	none	2
153	17	0	0	0	square	red	10
154	17	1	0	1	none	none	2
155	17	2	0	2	triangle	green	14
156	17	3	1	0	triangle	blue	18
157	17	4	1	1	triangle	red	14
158	17	5	1	2	none	none	2
159	17	6	2	0	square	green	9
160	17	7	2	1	square	blue	9
161	17	8	2	2	square	blue	4
162	18	0	0	0	circle	red	8
163	18	1	0	1	square	blue	4
164	18	2	0	2	circle	red	6
165	18	3	1	0	square	blue	9
166	18	4	1	1	circle	red	6
167	18	5	1	2	none	none	2
168	18	6	2	0	circle	blue	8
169	18	7	2	1	circle	red	8
170	18	8	2	2	square	green	10
171	19	0	0	0	none	none	2
172	19	1	0	1	square	blue	9
173	19	2	0	2	square	green	10
174	19	3	1	0	none	none	2
175	19	4	1	1	square	blue	10
176	19	5	1	2	circle	green	13
177	19	6	2	0	triangle	blue	9
178	19	7	2	1	square	green	7
179	19	8	2	2	triangle	blue	0
180	20	0	0	0	square	red	4
181	20	1	0	1	none	none	2
182	20	2	0	2	triangle	blue	0
183	20	3	1	0	triangle	green	0
184	20	4	1	1	none	none	2
185	20	5	1	2	circle	blue	4
186	20	6	2	0	circle	blue	8
187	20	7	2	1	triangle	green	5
188	20	8	2	2	square	blue	10
189	21	0	0	0	circle	blue	8
190	21	1	0	1	circle	green	1
191	21	2	0	2	square	blue	4
192	21	3	1	0	circle	blue	4
193	21	4	1	1	triangle	red	0
194	21	5	1	2	triangle	red	7
195	21	6	2	0	square	red	10
196	21	7	2	1	triangle	green	12
197	21	8	2	2	none	none	2
198	22	0	0	0	triangle	green	7
199	22	1	0	1	circle	red	8
200	22	2	0	2	triangle	green	0
201	22	3	1	0	triangle	green	5
202	22	4	1	1	square	green	10
203	22	5	1	2	square	red	7
204	22	6	2	0	triangle	blue	9
205	22	7	2	1	none	none	2
206	22	8	2	2	none	none	2
207	23	0	0	0	square	blue	10
208	23	1	0	1	circle	green	6
209	23	2	0	2	circle	green	13
210	23	3	1	0	circle	blue	8
211	23	4	1	1	circle	blue	6
212	23	5	1	2	square	blue	13
213	23	6	2	0	triangle	green	14
214	23	7	2	1	triangle	red	0
215	23	8	2	2	square	red	9
216	24	0	0	0	triangle	red	5
217	24	1	0	1	circle	red	6
218	24	2	0	2	square	green	9
219	24	3	1	0	triangle	green	15
220	24	4	1	1	square	green	10
221	24	5	1	2	circle	green	6
222	24	6	2	0	none	none	2
223	24	7	2	1	triangle	red	5
224	24	8	2	2	circle	blue	8
225	25	0	0	0	none	none	2
226	25	1	0	1	square	blue	13
227	25	2	0	2	circle	red	8
228	25	3	1	0	square	red	10
229	25	4	1	1	circle	red	8
230	25	5	1	2	circle	green	6
231	25	6	2	0	none	none	2
232	25	7	2	1	circle	green	6
233	25	8	2	2	circle	red	16
234	26	0	0	0	triangle	green	14
235	26	1	0	1	triangle	green	14
236	26	2	0	2	triangle	red	14
237	26	3	1	0	none	none	2
238	26	4	1	1	square	green	10
239	26	5	1	2	none	none	2
240	26	6	2	0	square	green	9
241	26	7	2	1	circle	blue	8
242	26	8	2	2	none	none	2
243	27	0	0	0	square	blue	13
244	27	1	0	1	square	blue	9
245	27	2	0	2	circle	green	8
246	27	3	1	0	circle	blue	8
247	27	4	1	1	circle	blue	8
248	27	5	1	2	square	blue	4
249	27	6	2	0	triangle	red	5
250	27	7	2	1	circle	blue	1
251	27	8	2	2	none	none	2
252	28	0	0	0	none	none	2
253	28	1	0	1	square	green	10
254	28	2	0	2	triangle	green	14
255	28	3	1	0	circle	green	8
256	28	4	1	1	square	blue	9
257	28	5	1	2	circle	blue	8
258	28	6	2	0	circle	blue	4
259	28	7	2	1	square	blue	9
260	28	8	2	2	square	red	10
261	29	0	0	0	circle	green	1
262	29	1	0	1	square	green	10
263	29	2	0	2	triangle	blue	7
264	29	3	1	0	none	none	2
265	29	4	1	1	circle	red	6
266	29	5	1	2	square	blue	10
267	29	6	2	0	circle	red	8
268	29	7	2	1	circle	green	6
269	29	8	2	2	circle	blue	6
270	30	0	0	0	triangle	blue	7
271	30	1	0	1	circle	blue	6
272	30	2	0	2	triangle	red	0
273	30	3	1	0	none	none	2
274	30	4	1	1	none	none	2
275	30	5	1	2	square	red	10
276	30	6	2	0	square	green	10
277	30	7	2	1	circle	blue	4
278	30	8	2	2	none	none	2
279	31	0	0	0	circle	green	8
280	31	1	0	1	square	blue	9
281	31	2	0	2	square	green	9
282	31	3	1	0	circle	green	4
283	31	4	1	1	square	green	13
284	31	5	1	2	none	none	2
285	31	6	2	0	triangle	blue	0
286	31	7	2	1	circle	red	8
287	31	8	2	2	none	none	2
288	32	0	0	0	triangle	green	0
289	32	1	0	1	none	none	2
290	32	2	0	2	square	red	4
291	32	3	1	0	square	red	9
292	32	4	1	1	square	red	10
293	32	5	1	2	circle	green	6
294	32	6	2	0	square	red	10
295	32	7	2	1	square	green	4
296	32	8	2	2	triangle	green	0
297	33	0	0	0	triangle	red	7
298	33	1	0	1	triangle	red	14
299	33	2	0	2	circle	blue	6
300	33	3	1	0	triangle	green	7
301	33	4	1	1	square	red	10
302	33	5	1	2	circle	blue	6
303	33	6	2	0	circle	red	8
304	33	7	2	1	square	red	9
305	33	8	2	2	circle	red	4
306	34	0	0	0	triangle	green	15
307	34	1	0	1	none	none	2
308	34	2	0	2	square	blue	4
309	34	3	1	0	circle	blue	8
310	34	4	1	1	square	blue	10
311	34	5	1	2	none	none	2
312	34	6	2	0	none	none	2
313	34	7	2	1	square	blue	4
314	34	8	2	2	none	none	2
315	35	0	0	0	square	green	9
316	35	1	0	1	triangle	red	5
317	35	2	0	2	circle	green	8
318	35	3	1	0	square	green	9
319	35	4	1	1	triangle	red	7
320	35	5	1	2	triangle	green	15
321	35	6	2	0	none	none	2
322	35	7	2	1	triangle	green	5
323	35	8	2	2	circle	red	19
324	36	0	0	0	circle	blue	6
325	36	1	0	1	square	blue	10
326	36	2	0	2	triangle	red	13
327	36	3	1	0	none	none	2
328	36	4	1	1	none	none	2
329	36	5	1	2	square	green	20
330	36	6	2	0	circle	red	13
331	36	7	2	1	circle	red	8
332	36	8	2	2	triangle	green	7
333	37	0	0	0	circle	red	8
334	37	1	0	1	triangle	green	0
335	37	2	0	2	circle	green	16
336	37	3	1	0	none	none	2
337	37	4	1	1	square	blue	10
338	37	5	1	2	circle	green	6
339	37	6	2	0	circle	blue	8
340	37	7	2	1	triangle	blue	5
341	37	8	2	2	none	none	2
342	38	0	0	0	square	green	9
343	38	1	0	1	triangle	green	7
344	38	2	0	2	square	red	9
345	38	3	1	0	triangle	green	5
346	38	4	1	1	square	green	4
347	38	5	1	2	triangle	blue	0
348	38	6	2	0	none	none	2
349	38	7	2	1	none	none	2
350	38	8	2	2	square	red	4
351	39	0	0	0	square	green	4
352	39	1	0	1	none	none	2
353	39	2	0	2	triangle	green	0
354	39	3	1	0	triangle	green	15
355	39	4	1	1	none	none	2
356	39	5	1	2	square	blue	9
357	39	6	2	0	circle	green	21
358	39	7	2	1	triangle	blue	7
359	39	8	2	2	triangle	green	15
360	40	0	0	0	circle	red	1
361	40	1	0	1	triangle	blue	14
362	40	2	0	2	none	none	2
363	40	3	1	0	square	green	9
364	40	4	1	1	square	red	10
365	40	5	1	2	triangle	red	7
366	40	6	2	0	square	green	4
367	40	7	2	1	square	green	9
368	40	8	2	2	none	none	2
369	41	0	0	0	triangle	green	5
370	41	1	0	1	none	none	2
371	41	2	0	2	none	none	2
372	41	3	1	0	square	green	10
373	41	4	1	1	triangle	blue	7
374	41	5	1	2	triangle	green	5
375	41	6	2	0	circle	green	13
376	41	7	2	1	circle	blue	17
377	41	8	2	2	none	none	2
378	42	0	0	0	none	none	2
379	42	1	0	1	triangle	green	5
380	42	2	0	2	square	red	10
381	42	3	1	0	triangle	red	5
382	42	4	1	1	triangle	green	7
383	42	5	1	2	square	blue	10
384	42	6	2	0	square	blue	10
385	42	7	2	1	square	green	9
386	42	8	2	2	circle	blue	6
387	43	0	0	0	triangle	blue	0
388	43	1	0	1	square	blue	10
389	43	2	0	2	square	blue	10
390	43	3	1	0	square	red	10
391	43	4	1	1	circle	blue	1
392	43	5	1	2	triangle	blue	14
393	43	6	2	0	triangle	green	15
394	43	7	2	1	triangle	blue	5
395	43	8	2	2	square	green	10
396	44	0	0	0	triangle	green	7
397	44	1	0	1	none	none	2
398	44	2	0	2	circle	blue	6
399	44	3	1	0	none	none	2
400	44	4	1	1	none	none	2
401	44	5	1	2	circle	green	6
402	44	6	2	0	square	green	10
403	44	7	2	1	square	blue	10
404	44	8	2	2	square	red	4
405	45	0	0	0	square	blue	9
406	45	1	0	1	circle	red	22
407	45	2	0	2	none	none	2
408	45	3	1	0	circle	blue	8
409	45	4	1	1	triangle	red	7
410	45	5	1	2	square	green	10
411	45	6	2	0	square	red	9
412	45	7	2	1	none	none	2
413	45	8	2	2	triangle	blue	7
414	46	0	0	0	triangle	green	0
415	46	1	0	1	triangle	blue	7
416	46	2	0	2	none	none	2
417	46	3	1	0	circle	red	6
418	46	4	1	1	square	red	10
419	46	5	1	2	triangle	green	5
420	46	6	2	0	triangle	green	0
421	46	7	2	1	none	none	2
422	46	8	2	2	none	none	2
423	47	0	0	0	circle	red	8
424	47	1	0	1	square	red	10
425	47	2	0	2	none	none	2
426	47	3	1	0	none	none	2
427	47	4	1	1	square	red	7
428	47	5	1	2	square	green	9
429	47	6	2	0	square	blue	10
430	47	7	2	1	square	blue	9
431	47	8	2	2	none	none	2
432	48	0	0	0	circle	blue	17
433	48	1	0	1	square	green	4
434	48	2	0	2	square	green	9
435	48	3	1	0	circle	red	8
436	48	4	1	1	triangle	red	0
437	48	5	1	2	square	green	9
438	48	6	2	0	triangle	red	7
439	48	7	2	1	triangle	blue	7
440	48	8	2	2	square	blue	10
441	49	0	0	0	triangle	blue	14
442	49	1	0	1	triangle	green	5
443	49	2	0	2	circle	blue	8
444	49	3	1	0	circle	red	6
445	49	4	1	1	circle	green	8
446	49	5	1	2	circle	blue	1
447	49	6	2	0	triangle	red	7
448	49	7	2	1	none	none	2
449	49	8	2	2	triangle	blue	14
450	50	0	0	0	triangle	green	15
451	50	1	0	1	square	green	9
452	50	2	0	2	circle	blue	23
453	50	3	1	0	square	blue	10
454	50	4	1	1	circle	blue	8
455	50	5	1	2	triangle	green	7
456	50	6	2	0	none	none	2
457	50	7	2	1	triangle	green	7
458	50	8	2	2	triangle	green	5
459	51	0	0	0	square	red	9
460	51	1	0	1	triangle	blue	0
461	51	2	0	2	triangle	green	5
462	51	3	1	0	square	green	10
463	51	4	1	1	none	none	2
464	51	5	1	2	square	red	9
465	51	6	2	0	none	none	2
466	51	7	2	1	triangle	red	7
467	51	8	2	2	triangle	blue	7
468	52	0	0	0	square	green	4
469	52	1	0	1	square	red	10
470	52	2	0	2	triangle	red	14
471	52	3	1	0	none	none	2
472	52	4	1	1	circle	green	1
473	52	5	1	2	square	red	9
474	52	6	2	0	triangle	green	7
475	52	7	2	1	none	none	2
476	52	8	2	2	circle	blue	4
477	53	0	0	0	circle	green	6
478	53	1	0	1	circle	green	6
479	53	2	0	2	circle	red	8
480	53	3	1	0	circle	blue	6
481	53	4	1	1	circle	green	1
482	53	5	1	2	triangle	red	0
483	53	6	2	0	square	green	10
484	53	7	2	1	triangle	blue	14
485	53	8	2	2	none	none	2
486	54	0	0	0	triangle	red	5
487	54	1	0	1	circle	blue	6
488	54	2	0	2	none	none	2
489	54	3	1	0	circle	blue	13
490	54	4	1	1	triangle	green	5
491	54	5	1	2	square	green	10
492	54	6	2	0	circle	blue	8
493	54	7	2	1	square	red	10
494	54	8	2	2	square	blue	9
495	55	0	0	0	triangle	blue	14
496	55	1	0	1	none	none	2
497	55	2	0	2	none	none	2
498	55	3	1	0	triangle	green	14
499	55	4	1	1	triangle	blue	7
500	55	5	1	2	triangle	green	14
501	55	6	2	0	square	green	9
502	55	7	2	1	square	red	10
503	55	8	2	2	none	none	2
504	56	0	0	0	square	blue	9
505	56	1	0	1	triangle	green	7
506	56	2	0	2	none	none	2
507	56	3	1	0	square	blue	9
508	56	4	1	1	triangle	red	14
509	56	5	1	2	square	blue	9
510	56	6	2	0	circle	blue	1
511	56	7	2	1	square	green	10
512	56	8	2	2	circle	green	8
513	57	0	0	0	circle	red	6
514	57	1	0	1	none	none	2
515	57	2	0	2	circle	blue	13
516	57	3	1	0	triangle	blue	0
517	57	4	1	1	circle	blue	8
518	57	5	1	2	none	none	2
519	57	6	2	0	none	none	2
520	57	7	2	1	triangle	green	0
521	57	8	2	2	triangle	green	5
522	58	0	0	0	square	red	9
523	58	1	0	1	triangle	blue	14
524	58	2	0	2	circle	blue	8
525	58	3	1	0	square	blue	9
526	58	4	1	1	square	green	10
527	58	5	1	2	circle	blue	8
528	58	6	2	0	none	none	2
529	58	7	2	1	circle	blue	6
530	58	8	2	2	square	red	10
531	59	0	0	0	square	green	13
532	59	1	0	1	circle	red	9
533	59	2	0	2	triangle	green	15
534	59	3	1	0	circle	blue	4
535	59	4	1	1	square	blue	9
536	59	5	1	2	square	blue	10
537	59	6	2	0	circle	blue	6
538	59	7	2	1	triangle	green	7
539	59	8	2	2	square	green	10
540	60	0	0	0	triangle	blue	0
541	60	1	0	1	circle	blue	6
542	60	2	0	2	square	green	10
543	60	3	1	0	none	none	2
544	60	4	1	1	triangle	green	14
545	60	5	1	2	triangle	red	7
546	60	6	2	0	circle	red	24
547	60	7	2	1	triangle	blue	7
548	60	8	2	2	none	none	2
549	61	0	0	0	square	green	10
550	61	1	0	1	triangle	red	14
551	61	2	0	2	square	red	13
552	61	3	1	0	square	blue	10
553	61	4	1	1	square	blue	25
554	61	5	1	2	triangle	red	5
555	61	6	2	0	none	none	2
556	61	7	2	1	square	blue	4
557	61	8	2	2	triangle	green	0
558	62	0	0	0	none	none	2
559	62	1	0	1	triangle	blue	12
560	62	2	0	2	square	red	4
561	62	3	1	0	circle	green	8
562	62	4	1	1	square	red	4
563	62	5	1	2	triangle	green	5
564	62	6	2	0	triangle	red	7
565	62	7	2	1	square	blue	10
566	62	8	2	2	none	none	2
567	63	0	0	0	triangle	red	5
568	63	1	0	1	circle	blue	6
569	63	2	0	2	square	blue	7
570	63	3	1	0	square	green	4
571	63	4	1	1	square	blue	9
572	63	5	1	2	none	none	2
573	63	6	2	0	circle	blue	8
574	63	7	2	1	triangle	green	15
575	63	8	2	2	triangle	red	7
